,filename,_primary_labels,_secondary_labels,_from_s,_to_s,_year,_month,latitude,longitude,rating,_source,row_id,site,birds
293,11254_COR_20190904.ogg,brnjay,,265,270,2019,9,10.12,-84.51,5.0,long,11254_COR_270,COR,nocall
294,11254_COR_20190904.ogg,brnjay sthwoo1,,270,275,2019,9,10.12,-84.51,5.0,long,11254_COR_275,COR,brnjay
399,18003_COR_20190904.ogg,grekis rucwar,,195,200,2019,9,10.12,-84.51,5.0,long,18003_COR_200,COR,rucwar
406,18003_COR_20190904.ogg,rucwar runwre1,,230,235,2019,9,10.12,-84.51,5.0,long,18003_COR_235,COR,runwre1
417,18003_COR_20190904.ogg,rtlhum rucwar,,285,290,2019,9,10.12,-84.51,5.0,long,18003_COR_290,COR,rucwar
426,18003_COR_20190904.ogg,hofwoo1 rucwar,,330,335,2019,9,10.12,-84.51,5.0,long,18003_COR_335,COR,hofwoo1
458,18003_COR_20190904.ogg,hofwoo1 rucwar runwre1,,490,495,2019,9,10.12,-84.51,5.0,long,18003_COR_495,COR,hofwoo1 runwre1
459,18003_COR_20190904.ogg,rucwar runwre1,,495,500,2019,9,10.12,-84.51,5.0,long,18003_COR_500,COR,runwre1
467,18003_COR_20190904.ogg,nocall,,535,540,2019,9,10.12,-84.51,5.0,long,18003_COR_540,COR,rucwar
478,18003_COR_20190904.ogg,rucwar runwre1,,590,595,2019,9,10.12,-84.51,5.0,long,18003_COR_595,COR,runwre1
481,21767_COR_20190904.ogg,grekis rucwar,,5,10,2019,9,10.12,-84.51,5.0,long,21767_COR_10,COR,grekis
484,21767_COR_20190904.ogg,rucwar,,20,25,2019,9,10.12,-84.51,5.0,long,21767_COR_25,COR,nocall
487,21767_COR_20190904.ogg,grekis rucwar,,35,40,2019,9,10.12,-84.51,5.0,long,21767_COR_40,COR,rucwar
492,21767_COR_20190904.ogg,grekis rucwar,,60,65,2019,9,10.12,-84.51,5.0,long,21767_COR_65,COR,grekis
497,21767_COR_20190904.ogg,grekis runwre1,,85,90,2019,9,10.12,-84.51,5.0,long,21767_COR_90,COR,grekis
