,filename,birds,start_sec,end_sec,file_path,duration
0,7019_COR_20190904.ogg,nocall,0.0,600.0,/app/_data/birdclef-2021/train_soundscapes/7019_COR_20190904.ogg,600.0
1,7954_COR_20190923.ogg,nocall,0.0,600.0,/app/_data/birdclef-2021/train_soundscapes/7954_COR_20190923.ogg,600.0
2,11254_COR_20190904.ogg,rubwre1,0.0,5.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
3,11254_COR_20190904.ogg,nocall,5.0,10.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
4,11254_COR_20190904.ogg,rubwre1,10.0,15.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
5,11254_COR_20190904.ogg,nocall,15.0,20.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
6,11254_COR_20190904.ogg,rubwre1,20.0,25.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
7,11254_COR_20190904.ogg,nocall,25.0,135.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
8,11254_COR_20190904.ogg,obnthr1,135.0,165.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
9,11254_COR_20190904.ogg,nocall,165.0,210.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
10,11254_COR_20190904.ogg,brnjay,210.0,215.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
11,11254_COR_20190904.ogg,nocall,215.0,265.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
12,11254_COR_20190904.ogg,brnjay,265.0,270.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
13,11254_COR_20190904.ogg,brnjay sthwoo1,270.0,275.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
14,11254_COR_20190904.ogg,brnjay,275.0,280.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
15,11254_COR_20190904.ogg,nocall,280.0,510.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
16,11254_COR_20190904.ogg,rubwre1,510.0,520.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
17,11254_COR_20190904.ogg,nocall,520.0,600.0,/app/_data/birdclef-2021/train_soundscapes/11254_COR_20190904.ogg,600.0
18,18003_COR_20190904.ogg,rucwar,0.0,5.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
19,18003_COR_20190904.ogg,nocall,5.0,15.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
20,18003_COR_20190904.ogg,rucwar,15.0,50.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
21,18003_COR_20190904.ogg,nocall,50.0,60.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
22,18003_COR_20190904.ogg,rucwar,60.0,65.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
23,18003_COR_20190904.ogg,nocall,65.0,75.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
24,18003_COR_20190904.ogg,rucwar,75.0,85.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
25,18003_COR_20190904.ogg,nocall,85.0,135.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
26,18003_COR_20190904.ogg,rucwar,135.0,195.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
27,18003_COR_20190904.ogg,grekis rucwar,195.0,200.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
28,18003_COR_20190904.ogg,rucwar,200.0,205.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
29,18003_COR_20190904.ogg,nocall,205.0,210.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
30,18003_COR_20190904.ogg,rucwar,210.0,230.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
31,18003_COR_20190904.ogg,rucwar runwre1,230.0,235.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
32,18003_COR_20190904.ogg,rucwar,235.0,275.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
33,18003_COR_20190904.ogg,nocall,275.0,280.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
34,18003_COR_20190904.ogg,rucwar,280.0,285.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
35,18003_COR_20190904.ogg,rtlhum rucwar,285.0,290.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
36,18003_COR_20190904.ogg,rucwar,290.0,315.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
37,18003_COR_20190904.ogg,hofwoo1,315.0,320.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
38,18003_COR_20190904.ogg,hofwoo1 rucwar,320.0,325.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
39,18003_COR_20190904.ogg,rucwar,325.0,330.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
40,18003_COR_20190904.ogg,hofwoo1 rucwar,330.0,335.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
41,18003_COR_20190904.ogg,rucwar,335.0,440.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
42,18003_COR_20190904.ogg,nocall,440.0,445.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
43,18003_COR_20190904.ogg,rucwar,445.0,470.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
44,18003_COR_20190904.ogg,nocall,470.0,480.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
45,18003_COR_20190904.ogg,hofwoo1,480.0,490.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
46,18003_COR_20190904.ogg,hofwoo1 rucwar runwre1,490.0,495.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
47,18003_COR_20190904.ogg,rucwar runwre1,495.0,500.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
48,18003_COR_20190904.ogg,rucwar,500.0,535.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
49,18003_COR_20190904.ogg,nocall,535.0,540.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
50,18003_COR_20190904.ogg,rucwar,540.0,550.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
51,18003_COR_20190904.ogg,nocall,550.0,555.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
52,18003_COR_20190904.ogg,rucwar,555.0,560.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
53,18003_COR_20190904.ogg,nocall,560.0,565.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
54,18003_COR_20190904.ogg,rucwar,565.0,585.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
55,18003_COR_20190904.ogg,runwre1,585.0,590.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
56,18003_COR_20190904.ogg,rucwar runwre1,590.0,595.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
57,18003_COR_20190904.ogg,rucwar,595.0,600.0,/app/_data/birdclef-2021/train_soundscapes/18003_COR_20190904.ogg,600.0
58,21767_COR_20190904.ogg,grekis rucwar,0.0,10.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
59,21767_COR_20190904.ogg,rucwar,10.0,25.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
60,21767_COR_20190904.ogg,grekis rucwar,25.0,30.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
